Date,no,Snow_type,Trigger_type,Avalanche_size_m2,Avalanche_danger_level,Num_wet,Num_dry,Num_mixed,Num_unknown,Num_Natural,Num_Human,Num_Explosive,Num_Unknown_t
2000-01-19,201,dry,NATURAL,4247.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,202,dry,NATURAL,4119.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,203,dry,NATURAL,7112.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,204,dry,NATURAL,4611.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,205,dry,NATURAL,5213.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,206,dry,NATURAL,1492.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,207,dry,NATURAL,7477.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,208,dry,HUMAN,10712.0,3.0,0,1,0,0,0,1,0,0
2000-01-20,209,dry,HUMAN,20154.0,3.0,0,1,0,0,0,1,0,0
2000-01-25,210,dry,NATURAL,7218.0,3.0,0,1,0,0,1,0,0,0
2000-01-25,211,unknown,NATURAL,10321.0,3.0,0,0,0,1,1,0,0,0
2000-01-25,212,dry,NATURAL,3092.0,3.0,0,1,0,0,1,0,0,0
2000-01-26,213,dry,HUMAN,3516.0,3.0,0,1,0,0,0,1,0,0
2000-01-26,214,dry,HUMAN,4598.0,3.0,0,1,0,0,0,1,0,0
2000-01-26,215,dry,HUMAN,10385.0,3.0,0,1,0,0,0,1,0,0
2000-01-27,216,dry,NATURAL,2202.0,3.0,0,1,0,0,1,0,0,0
2000-01-28,217,unknown,NATURAL,4364.0,2.0,0,0,0,1,1,0,0,0
2000-01-31,218,dry,NATURAL,10325.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,219,dry,NATURAL,5476.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,220,dry,NATURAL,7681.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,221,dry,NATURAL,5618.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,222,dry,NATURAL,2619.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,223,unknown,NATURAL,8261.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,224,unknown,NATURAL,7723.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,225,unknown,NATURAL,10371.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,226,unknown,NATURAL,4791.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,227,dry,NATURAL,9416.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,228,dry,HUMAN,1103.0,4.0,0,1,0,0,0,1,0,0
2000-01-31,229,unknown,NATURAL,9130.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,230,dry,NATURAL,3688.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,231,dry,NATURAL,4463.0,4.0,0,1,0,0,1,0,0,0
2000-01-31,232,unknown,NATURAL,2323.0,4.0,0,0,0,1,1,0,0,0
2000-01-31,233,unknown,NATURAL,2487.0,4.0,0,0,0,1,1,0,0,0
2000-02-01,234,unknown,NATURAL,10275.0,3.0,0,0,0,1,1,0,0,0
2000-02-01,235,dry,NATURAL,3656.0,3.0,0,1,0,0,1,0,0,0
